=== MALATAVADI REJECTED CORRECTIONS DETAIL ===
Plot       | Confidence | Ev Imp     | Shift (m)  | Safeguard                 | Detailed Reason
1054       | 0.1540     | 0.0843     | 10.44      | baseline                  | Baseline flagging (low legacy conf)
1055       | 0.1230     | 0.1724     | 10.44      | baseline                  | Baseline flagging (low legacy conf)
1056       | 0.1743     | 0.0307     | 10.20      | baseline                  | Baseline flagging (area ratio)
1057       | 0.5332     | 0.1135     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1058       | 0.1671     | 0.0619     | 10.20      | baseline                  | Baseline flagging (area ratio)
1059       | 0.2084     | 0.0548     | 10.20      | baseline                  | Baseline flagging (area ratio)
106        | 0.3409     | 0.0593     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1060       | 0.1615     | 0.0515     | 10.20      | baseline                  | Baseline flagging (area ratio)
1061       | 0.2882     | 0.0240     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1062       | 0.7743     | 0.0831     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1063       | 0.2536     | 0.0996     | 9.06       | baseline                  | Baseline flagging (low legacy conf)
1065       | 0.2271     | 0.0869     | 9.06       | baseline                  | Baseline flagging (area ratio)
1066/A     | 0.1562     | 0.0374     | 9.06       | baseline                  | Baseline flagging (area ratio)
1066/B     | 0.1697     | 0.0722     | 10.20      | baseline                  | Baseline flagging (area ratio)
1067       | 0.4132     | 0.0035     | 10.20      | confidence_threshold      | Low confidence (0.4132 < 0.50)
1068       | 0.4451     | 0.0029     | 10.20      | confidence_threshold      | Low confidence (0.4451 < 0.50)
1069       | 0.6202     | 0.0067     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1070       | 0.7490     | 0.0266     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1071       | 0.7129     | 0.0310     | 9.22       | baseline                  | Baseline flagging (alignment ambiguous)
1072/A     | 0.1794     | 0.0388     | 9.22       | baseline                  | Baseline flagging (area ratio)
1072/B     | 0.1820     | 0.0266     | 9.22       | baseline                  | Baseline flagging (area ratio)
1074       | 0.1866     | 0.0489     | 10.20      | baseline                  | Baseline flagging (area ratio)
1075       | 0.2605     | 0.0839     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1076       | 0.1406     | 0.0087     | 10.20      | baseline                  | Baseline flagging (area ratio)
1077       | 0.2043     | 0.0273     | 10.20      | baseline                  | Baseline flagging (area ratio)
1078       | 0.4886     | 0.0102     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1079       | 0.3985     | 0.0069     | 10.20      | confidence_threshold      | Low confidence (0.3985 < 0.50)
107/A      | 0.2131     | 0.0213     | 10.20      | baseline                  | Baseline flagging (area ratio)
107/B      | 0.2169     | 0.0183     | 10.20      | baseline                  | Baseline flagging (area ratio)
1080       | 0.4944     | 0.0636     | 10.20      | confidence_threshold      | Low confidence (0.4944 < 0.50)
1081       | 0.8232     | 0.0284     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1082       | 0.2019     | 0.0449     | 10.20      | baseline                  | Baseline flagging (area ratio)
1083       | 0.2015     | 0.0193     | 10.20      | baseline                  | Baseline flagging (area ratio)
1084       | 0.3024     | 0.0707     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1085       | 0.2778     | 0.0196     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1086       | 0.3650     | 0.0118     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1087       | 0.6034     | 0.0362     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1088       | 0.3422     | 0.0687     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
108/A      | 0.2157     | 0.0196     | 10.20      | baseline                  | Baseline flagging (area ratio)
108/B      | 0.2081     | 0.0490     | 10.20      | baseline                  | Baseline flagging (area ratio)
109        | 0.6248     | 0.0350     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0350 < 0.035)
1090       | 0.2453     | 0.0996     | 11.18      | baseline                  | Baseline flagging (low legacy conf)
1091       | 0.2148     | 0.0614     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1092       | 0.1623     | 0.0593     | 11.18      | baseline                  | Baseline flagging (area ratio)
1093       | 0.6844     | 0.0148     | 11.18      | baseline                  | Baseline flagging (overlap violation)
1094       | 0.1812     | 0.0456     | 11.18      | baseline                  | Baseline flagging (area ratio)
1095       | 0.6232     | 0.0133     | 11.18      | baseline                  | Baseline flagging (overlap violation)
1096       | 0.4605     | 0.0411     | 10.20      | confidence_threshold      | Low confidence (0.4605 < 0.50)
1098       | 0.2423     | 0.0495     | 10.20      | baseline                  | Baseline flagging (area ratio)
1099       | 0.2304     | 0.0109     | 10.20      | baseline                  | Baseline flagging (area ratio)
11         | 0.8485     | 0.0535     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1101       | 0.1636     | 0.0748     | 9.22       | baseline                  | Baseline flagging (area ratio)
1102/A     | 0.8326     | 0.0199     | 9.22       | baseline                  | Baseline flagging (overlap violation)
1102/B     | 0.6903     | 0.0660     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1103       | 0.5022     | 0.0615     | 10.44      | baseline                  | Baseline flagging (low legacy conf)
1104       | 0.6398     | 0.0870     | 11.40      | baseline                  | Baseline flagging (overlap violation)
1105       | 0.1772     | 0.0873     | 10.44      | baseline                  | Baseline flagging (area ratio)
1106/A     | 0.2244     | 0.0528     | 10.44      | baseline                  | Baseline flagging (low legacy conf)
1106/B     | 0.2188     | 0.0563     | 10.44      | baseline                  | Baseline flagging (area ratio)
1107       | 0.4790     | 0.0255     | 10.20      | confidence_threshold      | Low confidence (0.4790 < 0.50)
1108/A     | 0.0996     | 0.0061     | 10.20      | baseline                  | Baseline flagging (area ratio)
1108/B     | 0.8014     | 0.0269     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1109       | 0.6355     | 0.0132     | 10.44      | baseline                  | Baseline flagging (overlap violation)
110/A      | 0.5522     | 0.0514     | 10.20      | baseline                  | Baseline flagging (overlap violation)
110/B      | 0.1629     | 0.1245     | 10.20      | baseline                  | Baseline flagging (area ratio)
111        | 0.4944     | 0.0273     | 9.06       | baseline                  | Baseline flagging (overlap violation)
1110/A     | 0.1122     | 0.1488     | 11.40      | baseline                  | Baseline flagging (area ratio)
1110/B     | 0.1684     | 0.1491     | 11.40      | baseline                  | Baseline flagging (area ratio)
1111       | 0.2806     | 0.0404     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1112       | 0.1201     | 0.2104     | 11.18      | baseline                  | Baseline flagging (area ratio)
1113       | 0.1436     | 0.1714     | 11.40      | baseline                  | Baseline flagging (area ratio)
1114       | 0.1968     | 0.1226     | 11.40      | baseline                  | Baseline flagging (area ratio)
1115/1     | 0.1459     | 0.0363     | 10.20      | baseline                  | Baseline flagging (area ratio)
1115/11    | 0.1423     | 0.0968     | 11.18      | baseline                  | Baseline flagging (area ratio)
1115/12    | 0.1879     | 0.1371     | 11.40      | baseline                  | Baseline flagging (area ratio)
1115/13    | 0.4306     | 0.0217     | 11.18      | baseline                  | Baseline flagging (overlap violation)
1115/14    | 0.4520     | 0.1257     | 11.18      | baseline                  | Baseline flagging (low legacy conf)
1115/15    | 0.1116     | 0.0358     | 10.20      | baseline                  | Baseline flagging (area ratio)
1115/2     | 0.6703     | 0.0145     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1115/3     | 0.5385     | 0.0117     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0117 < 0.035)
1115/5     | 0.6765     | 0.0099     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0099 < 0.035)
1115/6     | 0.2574     | 0.0178     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1115/7     | 0.6736     | 0.0317     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1115/8     | 0.4698     | 0.0709     | 11.40      | baseline                  | Baseline flagging (overlap violation)
1115/9     | 0.4459     | 0.0288     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1116       | 0.2690     | 0.0075     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1117       | 0.2889     | 0.0560     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1118       | 0.1105     | 0.0170     | 10.20      | baseline                  | Baseline flagging (area ratio)
1119       | 0.4608     | 0.0292     | 10.20      | baseline                  | Baseline flagging (overlap violation)
112        | 0.7371     | 0.0213     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
1120       | 0.6742     | 0.0152     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1121       | 0.8231     | 0.0176     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1122       | 0.4920     | 0.0238     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1123       | 0.8347     | 0.0175     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1124       | 0.1580     | 0.0301     | 10.20      | baseline                  | Baseline flagging (area ratio)
1125       | 0.8380     | 0.0287     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1126       | 0.1595     | 0.0121     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1129       | 0.5697     | 0.0236     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0236 < 0.035)
113        | 0.7934     | 0.0243     | 10.05      | evidence_threshold        | Insufficient evidence improvement (0.0243 < 0.035)
1130       | 0.3078     | 0.0853     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1131       | 0.2173     | 0.0260     | 10.44      | baseline                  | Baseline flagging (area ratio)
1132       | 0.2413     | 0.0878     | 10.44      | baseline                  | Baseline flagging (area ratio)
1133       | 0.2287     | 0.0385     | 10.20      | baseline                  | Baseline flagging (area ratio)
1134       | 0.7000     | 0.0373     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1135       | 0.2214     | 0.0375     | 10.44      | baseline                  | Baseline flagging (area ratio)
1136       | 0.1883     | 0.0445     | 10.77      | baseline                  | Baseline flagging (low legacy conf)
1137       | 0.8294     | 0.0749     | 10.44      | baseline                  | Baseline flagging (overlap violation)
1138       | 0.4674     | 0.1363     | 10.44      | baseline                  | Baseline flagging (low legacy conf)
1139       | 0.2657     | 0.0268     | 10.44      | baseline                  | Baseline flagging (low legacy conf)
114        | 0.7396     | 0.0577     | 10.05      | baseline                  | Baseline flagging (overlap violation)
1140       | 0.4358     | 0.0993     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1141       | 0.5294     | 0.0869     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1142       | 0.1914     | 0.1507     | 10.20      | baseline                  | Baseline flagging (area ratio)
1143       | 0.2284     | 0.0993     | 10.20      | baseline                  | Baseline flagging (area ratio)
1144       | 0.2291     | 0.0435     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1145       | 0.3316     | 0.0478     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1146       | 0.2061     | 0.0748     | 10.20      | baseline                  | Baseline flagging (area ratio)
1147       | 0.1853     | 0.0827     | 10.20      | baseline                  | Baseline flagging (area ratio)
1148       | 0.1830     | 0.0689     | 10.20      | baseline                  | Baseline flagging (area ratio)
1149       | 0.1913     | 0.0402     | 10.20      | baseline                  | Baseline flagging (area ratio)
1150       | 0.7669     | 0.0278     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1151       | 0.1902     | 0.0221     | 10.20      | baseline                  | Baseline flagging (area ratio)
1152       | 0.2059     | 0.0044     | 10.20      | baseline                  | Baseline flagging (area ratio)
1153       | 0.6218     | 0.0764     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1154       | 0.2082     | 0.0332     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1155       | 0.1926     | 0.0298     | 10.20      | baseline                  | Baseline flagging (area ratio)
1156       | 0.1494     | 0.0387     | 10.20      | baseline                  | Baseline flagging (area ratio)
1157       | 0.8124     | 0.0277     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1158/A     | 0.8412     | 0.0133     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0133 < 0.035)
1158/B     | 0.8540     | 0.0176     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1158/C     | 0.8451     | 0.0268     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0268 < 0.035)
1159       | 0.8094     | 0.0275     | 11.18      | evidence_threshold        | Insufficient evidence improvement (0.0275 < 0.035)
115/A      | 0.1385     | 0.0317     | 10.05      | baseline                  | Baseline flagging (area ratio)
115/B      | 0.1497     | 0.0292     | 10.05      | baseline                  | Baseline flagging (area ratio)
1160       | 0.7155     | 0.0122     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0122 < 0.035)
1161       | 0.5075     | 0.0824     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1162       | 0.5322     | 0.0105     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1163       | 0.1983     | 0.0250     | 10.20      | baseline                  | Baseline flagging (area ratio)
1164       | 0.2008     | 0.0430     | 10.20      | baseline                  | Baseline flagging (area ratio)
1165       | 0.1879     | 0.0573     | 10.20      | baseline                  | Baseline flagging (area ratio)
1166       | 0.3571     | 0.0140     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1167       | 0.7573     | 0.0081     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1168       | 0.2087     | 0.0268     | 10.20      | baseline                  | Baseline flagging (area ratio)
1169       | 0.6971     | 0.1086     | 10.20      | baseline                  | Baseline flagging (overlap violation)
116/A      | 0.2030     | 0.0377     | 10.05      | baseline                  | Baseline flagging (area ratio)
116/B      | 0.3654     | 0.0005     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
1171       | 0.2305     | 0.0688     | 10.20      | baseline                  | Baseline flagging (area ratio)
1172       | 0.2139     | 0.0630     | 10.20      | baseline                  | Baseline flagging (area ratio)
1173       | 0.2170     | 0.1444     | 10.20      | baseline                  | Baseline flagging (area ratio)
1174       | 0.2298     | 0.0729     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1175/A     | 0.2100     | 0.0657     | 10.20      | baseline                  | Baseline flagging (area ratio)
1175/B     | 0.2095     | 0.0426     | 10.20      | baseline                  | Baseline flagging (area ratio)
1176       | 0.4185     | 0.0557     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1178       | 0.6263     | 0.0247     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0247 < 0.035)
1179       | 0.4634     | 0.0493     | 10.20      | baseline                  | Baseline flagging (overlap violation)
118        | 0.8284     | 0.0097     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0097 < 0.035)
1180       | 0.7301     | 0.0926     | 10.05      | baseline                  | Baseline flagging (overlap violation)
1181       | 0.2335     | 0.0221     | 10.05      | baseline                  | Baseline flagging (area ratio)
1182/A     | 0.2614     | 0.0180     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1182/B     | 0.2086     | 0.0441     | 10.20      | baseline                  | Baseline flagging (area ratio)
1183       | 0.4063     | 0.0079     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1184       | 0.3647     | 0.0556     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1186       | 0.2307     | 0.0487     | 10.20      | baseline                  | Baseline flagging (area ratio)
1187       | 0.8465     | 0.0105     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0105 < 0.035)
1188       | 0.4604     | 0.0154     | 9.22       | baseline                  | Baseline flagging (overlap violation)
1189       | 0.2227     | 0.0293     | 9.22       | baseline                  | Baseline flagging (area ratio)
119        | 0.8211     | 0.0122     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0122 < 0.035)
1190       | 0.2999     | 0.0364     | 9.22       | baseline                  | Baseline flagging (low legacy conf)
1191       | 0.5425     | 0.0264     | 9.22       | baseline                  | Baseline flagging (overlap violation)
1192       | 0.2307     | 0.0510     | 9.22       | baseline                  | Baseline flagging (area ratio)
1193       | 0.2088     | 0.0476     | 9.22       | baseline                  | Baseline flagging (area ratio)
1194       | 0.7768     | 0.0196     | 9.22       | baseline                  | Baseline flagging (overlap violation)
1195       | 0.1786     | 0.0531     | 10.20      | baseline                  | Baseline flagging (area ratio)
1196       | 0.4206     | 0.0757     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1197       | 0.1904     | 0.0614     | 10.20      | baseline                  | Baseline flagging (area ratio)
1198       | 0.2071     | 0.0704     | 10.20      | baseline                  | Baseline flagging (area ratio)
1199       | 0.2170     | 0.0591     | 10.20      | baseline                  | Baseline flagging (area ratio)
12         | 0.2285     | 0.0260     | 10.20      | baseline                  | Baseline flagging (area ratio)
120        | 0.1860     | 0.0147     | 10.20      | baseline                  | Baseline flagging (area ratio)
1200       | 0.2204     | 0.0291     | 10.20      | baseline                  | Baseline flagging (area ratio)
1201       | 0.2035     | 0.0367     | 10.20      | baseline                  | Baseline flagging (area ratio)
1202       | 0.2077     | 0.0381     | 10.20      | baseline                  | Baseline flagging (area ratio)
1203       | 0.2219     | 0.0495     | 10.20      | baseline                  | Baseline flagging (area ratio)
1204/A     | 0.4038     | 0.0395     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1204/B     | 0.2307     | 0.0580     | 10.20      | baseline                  | Baseline flagging (area ratio)
1205       | 0.5269     | 0.0225     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0225 < 0.035)
1206/A     | 0.1639     | 0.0231     | 10.20      | baseline                  | Baseline flagging (area ratio)
1206/B     | 0.2115     | 0.0891     | 10.20      | baseline                  | Baseline flagging (area ratio)
1207       | 0.4094     | 0.0374     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1208       | 0.7831     | 0.0355     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1209       | 0.2275     | 0.0363     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
121        | 0.8033     | 0.0000     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0000 < 0.035)
1210       | 0.4031     | 0.0235     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1211       | 0.6925     | 0.0149     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1212       | 0.2307     | 0.0340     | 10.20      | baseline                  | Baseline flagging (area ratio)
1213/A     | 0.2219     | 0.0393     | 10.20      | baseline                  | Baseline flagging (area ratio)
1213/B     | 0.2188     | 0.0419     | 10.20      | baseline                  | Baseline flagging (area ratio)
1214       | 0.5099     | 0.0313     | 10.05      | baseline                  | Baseline flagging (overlap violation)
1215       | 0.3639     | 0.0688     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
1216       | 0.2077     | 0.0217     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1217       | 0.1951     | 0.0375     | 10.20      | baseline                  | Baseline flagging (area ratio)
1218       | 0.2398     | 0.0128     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1219       | 0.7426     | 0.0599     | 10.20      | baseline                  | Baseline flagging (overlap violation)
122        | 0.7538     | 0.0000     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0000 < 0.035)
1220       | 0.2210     | 0.0236     | 10.20      | baseline                  | Baseline flagging (area ratio)
1221       | 0.8242     | 0.0126     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1222       | 0.2731     | 0.0588     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1223       | 0.7111     | 0.1168     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1224       | 0.7798     | 0.0951     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1226       | 0.2387     | 0.1364     | 10.20      | baseline                  | Baseline flagging (area ratio)
1227/A     | 0.1782     | 0.0183     | 10.05      | baseline                  | Baseline flagging (area ratio)
1227/B     | 0.2118     | 0.0312     | 10.05      | baseline                  | Baseline flagging (area ratio)
1228       | 0.1603     | 0.1090     | 10.05      | baseline                  | Baseline flagging (area ratio)
1229/A     | 0.2245     | 0.0446     | 10.20      | baseline                  | Baseline flagging (area ratio)
1229/B     | 0.1972     | 0.0557     | 10.20      | baseline                  | Baseline flagging (area ratio)
123        | 0.1587     | 0.0063     | 10.20      | baseline                  | Baseline flagging (area ratio)
1230       | 0.4741     | 0.0421     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1231       | 0.4351     | 0.0193     | 10.20      | confidence_threshold      | Low confidence (0.4351 < 0.50)
1232       | 0.2277     | 0.0667     | 10.05      | baseline                  | Baseline flagging (area ratio)
1233       | 0.1868     | 0.0432     | 10.05      | baseline                  | Baseline flagging (area ratio)
1234       | 0.4168     | 0.0402     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1235/A     | 0.1841     | 0.0204     | 10.20      | baseline                  | Baseline flagging (area ratio)
1235/B     | 0.2064     | 0.0372     | 10.20      | baseline                  | Baseline flagging (area ratio)
1236       | 0.1961     | 0.0586     | 10.20      | baseline                  | Baseline flagging (area ratio)
1237       | 0.3258     | 0.0273     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1238/A     | 0.2915     | 0.0526     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1238/B     | 0.2146     | 0.0625     | 10.20      | baseline                  | Baseline flagging (area ratio)
1239       | 0.2174     | 0.0845     | 10.20      | baseline                  | Baseline flagging (area ratio)
124        | 0.7994     | 0.0000     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1240       | 0.3524     | 0.0864     | 11.05      | baseline                  | Baseline flagging (low legacy conf)
1241       | 0.2256     | 0.1813     | 10.20      | baseline                  | Baseline flagging (area ratio)
1242       | 0.2115     | 0.1693     | 10.20      | baseline                  | Baseline flagging (area ratio)
1243       | 0.2055     | 0.0349     | 10.20      | baseline                  | Baseline flagging (area ratio)
1244       | 0.2464     | 0.0054     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1245       | 0.2043     | 0.0905     | 11.18      | baseline                  | Baseline flagging (low legacy conf)
1246       | 0.1598     | 0.1037     | 10.20      | baseline                  | Baseline flagging (area ratio)
1247       | 0.1796     | 0.0814     | 10.20      | baseline                  | Baseline flagging (area ratio)
1248       | 0.4942     | 0.0123     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1249       | 0.7637     | 0.0576     | 10.20      | baseline                  | Baseline flagging (overlap violation)
125        | 0.7731     | 0.0170     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0170 < 0.035)
1250       | 0.2767     | 0.0796     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1251/A     | 0.1125     | 0.1839     | 10.44      | baseline                  | Baseline flagging (area ratio)
1251/B     | 0.7743     | 0.0414     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1252       | 0.1400     | 0.1108     | 10.20      | baseline                  | Baseline flagging (area ratio)
1253       | 0.5846     | 0.0000     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0000 < 0.035)
